Complete Availability,,,,,,,,,,
"WEEK OF SEPTEMBER 14, 2026",,,,,,,,,,
QTY,Plant Name,Size,Price 1,Price 2,Avail,Next Date,Ratings,,,
X,Geranium sang. 'Max Frei',#1,7.59,9.00,0,Sep 28,,,,
X,Geranium sang. 'NH Purple',#1,7.59,9.00,0,Oct 5,,,,
X,Geranium sang. var. striatum,#1,7.59,9.00,0,Oct 5,,,,
,Geranium 'Rozanne',#1,7.59,9.00,635,,Retail Foliage,,,
,Geum ×Cocktails™ 'Banana Daiquiri',#1,7.59,9.00,295,,Retail Foliage,,,
,Geum × Cocktails™ 'Sea Breeze',#1,7.59,9.00,215,,Retail Foliage,,,
,Geum 'Totally Tangerine',#1,8.68,10.30,362,,Retail Foliage,,,
,Geum triflorum,#1,7.59,9.00,59,Sep 28,Retail Foliage,,,
,Gillenia trifoliata,#1,7.59,9.00,594,,Fair Foliage,,,
,Globularia cordifolia,2QT,7.44,8.79,574,,Retail Foliage,,,
,GRASSES,,,,,,,,,
,Andropogon ger. 'Blackhawks',2GA,9.52,11.28,205,Sep 21,Small Looks Good,,,
,Andropogon ger. 'Blackhawks',#1,7.59,9.00,268,,Bud & Bloom,,,
,Andropogon gerardii LE,TRAY 50,85.00,85.00,19,,Ready,,,
,Bouteloua 'Blonde Ambition',#1,7.59,9.00,162,,"Blooming, Fair Foliage",,,
,Calamagrostis 'Karl Foerster',#1,6.29,7.38,201,,Cut Back,,,
,Calamagrostis 'Karl Foerster',2GA,8.48,10.04,1095,,Retail Foliage,,,
,Calamagrostis 'Overdam',2GA,9.52,11.28,194,,Small Looks Good,,,
,Calamagrostis 'Lightning Strike'®,2GA,8.48,10.04,561,,Small Looks Good,,,
,Carex appalachica,2QT,6.08,7.12,484,Sep 28,Small Looks Good,,,
,Carex brevior,2QT,6.08,7.12,57,,Retail Foliage,,,
,Carex laxiculmis 'Bunny Blue'™,2QT,7.44,8.79,289,,Retail Foliage,,,
,Carex morrowii 'Ice Dance',2GA,8.48,10.04,653,,Small Looks Good,,,
,Carex oshimensis 'Evergold',2QT,7.44,8.79,203,,Retail Foliage,,,
,Carex pensylvanica,2QT,6.08,7.12,5881,Sep 21,Retail Foliage,,,
,Carex pensylvanica,TRAY 50,120.00,120.00,79,Sep 21,Ready,,,
,Carex plantaginea,2QT,7.44,8.79,284,,Retail Foliage,,,
,Carex woodii,2QT,6.08,7.12,730,,Retail Foliage,,,
,Chasmanthium latifolium,2GA,9.52,11.28,304,,Retail Foliage,,,
,Deschampsia cespitosa,2GA,8.48,10.04,847,,Retail Foliage,,,
,Deschampsia cespitosa 'Goldtau',2GA,9.52,11.28,146,,Retail Foliage,,,
,Eragrostis spectabilis LE,2GA,9.52,11.28,259,,Small Looks Good,,,
,Eragrostis spectabilis LE,TRAY 50,77.50,77.50,10,,Ready,,,
,Festuca arun. Glow Sticks,#1,6.29,7.38,249,,Fair Foliage,,,
,Festuca glauca 'Elijah Blue',#1,6.29,7.38,425,,Fair Foliage,,,
,Festuca glauca Beyond Blue™,#1,7.59,9.00,236,,Fair Foliage,,,
,Hakonechloa macra,2QT,9.62,11.39,1358,,Retail Foliage,,,
,Hakonechloa 'All Gold',2QT,9.62,11.39,361,,Retail Foliage,,,
,Juncus effusus,#1,7.59,9.00,208,,Retail Foliage,,,
,Miscanthus 'Purpurascens',2GA,8.48,10.04,28,,Retail Foliage,,,
,Miscanthus 'Gracillimus',#1,6.29,7.38,160,,Fair Foliage,,,
,Miscanthus 'Gracillimus',2GA,8.48,10.04,106,,Fair Foliage,,,
,Miscanthus 'Strictus',#1,7.59,9.00,374,,Retail Foliage,,,
,Miscanthus 'Strictus',2GA,9.52,11.28,137,,Retail Foliage,,,
